SiteName,Latitude,Longitude,Elevation,Year,JulianDay,AphidCount,PrecipMM,Aphids_DD,Pea_DD,Vetch_DD
2020-Site-17,47.27501,-117.14291,758,2020,154,0,341.25,564.71,907.58,757.65
2020-Site-17,47.27501,-117.14291,758,2020,161,0,351.03,648.6,1022.97,860.44
2020-Site-17,47.27501,-117.14291,758,2020,169,1,379.41,764.25,1174.62,997.69
2020-Site-17,47.27501,-117.14291,758,2020,175,0,380.04,898.1,1335.47,1147.74
2020-Site-17,47.27501,-117.14291,758,2020,182,0,386.71,1052.61,1521.48,1321.15
2020-Site-17,47.27501,-117.14291,758,2020,189,0,391.73,1184.11,1684.48,1471.55
2020-Site-16,47.32077,-117.23883,786,2020,154,0,352.78,548.43,885.98,738.95
2020-Site-16,47.32077,-117.23883,786,2020,161,0,361.62,629.68,998.73,839.1
2020-Site-16,47.32077,-117.23883,786,2020,169,1,393.09,741.83,1146.88,972.85
2020-Site-16,47.32077,-117.23883,786,2020,175,0,393.95,874.2,1306.25,1121.42
2020-Site-16,47.32077,-117.23883,786,2020,182,0,400.83,1026.93,1490.48,1293.05
2020-Site-16,47.32077,-117.23883,786,2020,189,0,400.83,1155.7,1650.75,1440.72
2020-Site-15,46.57316,-117.15043,782,2020,154,1,346.25,675.16,1074.38,895.2
2020-Site-15,46.57316,-117.15043,782,2020,161,4,358.12,768.93,1199.65,1007.87
2020-Site-15,46.57316,-117.15043,782,2020,168,4,379.49,877.25,1339.47,1135.09
2020-Site-15,46.57316,-117.15043,782,2020,175,14,383.63,1032.24,1525.96,1308.98
2020-Site-15,46.57316,-117.15043,782,2020,182,3,405.77,1188.74,1713.96,1484.38
2020-Site-15,46.57316,-117.15043,782,2020,189,6,405.77,1325.24,1881.96,1639.78
2020-Site-14,46.55279,-116.99633,837,2020,154,1,401.78,642.67,1023.21,854.82
2020-Site-14,46.55279,-116.99633,837,2020,161,2,413.08,732.7,1144.74,963.75
2020-Site-14,46.55279,-116.99633,837,2020,168,2,436.41,836.31,1279.85,1086.26
2020-Site-14,46.55279,-116.99633,837,2020,175,11,439.11,988.94,1463.98,1257.79
2020-Site-14,46.55279,-116.99633,837,2020,182,1,465.96,1140.01,1646.55,1427.76
2020-Site-14,46.55279,-116.99633,837,2020,189,3,465.96,1275.21,1813.25,1581.86
2020-Site-13,46.56392,-116.94838,825,2020,154,0,422.05,645.09,1024.57,856.79
2020-Site-13,46.56392,-116.94838,825,2020,161,2,433.4,735.63,1146.61,966.23
2020-Site-13,46.56392,-116.94838,825,2020,168,3,456.71,839.42,1281.9,1088.92
2020-Site-13,46.56392,-116.94838,825,2020,175,7,459.3,992.49,1466.47,1260.89
2020-Site-13,46.56392,-116.94838,825,2020,182,1,486.31,1143.59,1649.07,1430.89
2020-Site-13,46.56392,-116.94838,825,2020,189,7,486.31,1279.57,1816.55,1585.77
2020-Site-12,46.55877,-116.8223,864,2020,154,1,482.39,611.8,972.67,814.75
2020-Site-12,46.55877,-116.8223,864,2020,161,9,494.0,698.97,1091.34,920.82
2020-Site-12,46.55877,-116.8223,864,2020,168,1,518.99,798.99,1222.86,1039.74
2020-Site-12,46.55877,-116.8223,864,2020,175,5,521.72,949.04,1404.41,1208.69
2020-Site-12,46.55877,-116.8223,864,2020,182,4,550.55,1095.8,1582.67,1374.35
