veg.date,Year,Julian_Day,SiteID,Latitude,Longitude,Elevation,PrecipMM,aphid.presence,hemiptera.aphididae,white.clover,black.medick,yellow.sweet.clover,hairy.vetch,silky.lupine,milkvetch.1,peavine,crimson.clover,common.vetch,large.cow.pea,pink.cow.pea,white.cow.pea,alfalfa,red.clover,subterranian.clover,wooly.pod.milkvetch,white.locoweed,lentil.vetch,clover.1,american.vetch,everlasting.vetchling,spurred.lupine,low.hop.clover
5/8/2018,2018,128,Blyton 1,46.55879,-117.27048,366,199.36,No,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/2018,2018,128,Blyton 2,46.55879,-117.27048,366,199.36,Yes,5,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/8/2018,2018,128,Blyton 3,46.55879,-117.27048,366,199.36,Yes,11,0,0,3,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/27/2018,2018,178,Blyton 4,46.55879,-117.27048,366,278.84,Yes,207,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2018,2018,172,Chief Timothy,46.41227,-117.21481,417,255.9,Yes,433,0,0,0,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,Dump Road 1,46.51830,-116.82388,830,421.75,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,Dump Road 2,46.51725,-116.82375,830,421.75,Yes,4,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/2018,2018,164,Genesee 1,46.54878,-116.90347,823,445.12,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2018,2018,155,Golf Course 1,46.74031,-117.14244,796,322.13,No,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0
4/27/2018,2018,117,Hells Gate 1,46.34987,-117.04899,288,121.16,Yes,1,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2018,2018,129,Hells Gate 2,46.35641,-117.05707,288,140.53,No,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2018,2018,131,Hells Gate 3,46.35105,-117.04421,288,142.02,No,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/11/2018,2018,131,Hells Gate 4,46.35130,-117.04674,288,142.02,No,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
6/27/2018,2018,178,Hells Gate 5,46.34988,-117.04911,288,227.4,No,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Idler's Rest 1,46.80204,-116.95828,875,367.89,No,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Idler's Rest 2,46.79857,-116.94942,940,397.96,No,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/13/2018,2018,164,Idler's Rest 3,46.79857,-116.94942,940,458.4,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0
6/13/2018,2018,164,Idler's Rest 4,46.79857,-116.94942,940,458.4,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,0
5/21/2018,2018,141,Kambitsch 1,46.58759,-116.94658,856,395.39,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Klemgard 1,46.76968,-117.35949,660,242.7,No,0,234,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Klemgard 2,46.77000,-117.36212,660,242.7,No,0,0,0,0,0,159,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
5/16/2018,2018,136,Klemgard 3,46.77098,-117.36139,660,242.7,Yes,3,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0
7/11/2018,2018,192,Little Road,46.61681,-117.23571,806,384.22,Yes,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2018,2018,143,McCrosky 1,47.06278,-116.88109,1068,579.12,Yes,4,0,0,0,0,77,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2018,2018,143,McCrosky 2,47.07420,-116.89178,1059,544.34,Yes,2,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/23/2018,2018,143,McCrosky 3,47.08814,-116.97993,1107,537.88,Yes,5,0,0,0,342,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/9/2018,2018,190,McCrosky 4,47.08759,-116.98099,1107,592.19,Yes,186,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2018,2018,129,Nisqually Canyon 1,46.51248,-117.23197,249,192.53,No,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/9/2018,2018,129,Nisqually Canyon 2,46.51351,-117.23024,422,204.16,No,0,0,0,0,130,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/4/2018,2018,155,Palouse Conservation Farm 1,46.74011,-117.14237,796,322.13,Yes,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,Phillips Farm 1,46.81339,-117.01835,895,371.69,Yes,150,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/21/2018,2018,141,Phillips Farm 2,46.81260,-117.02025,895,371.69,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2018,2018,194,Phillips Farm 3,46.81339,-117.01835,895,419.18,Yes,228,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/21/2018,2018,172,Rimrock 1,46.54157,-117.19541,855,379.24,No,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/11/2018,2018,192,Rimrock 2,46.58737,-117.22180,834,401.43,Yes,3,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,0
6/27/2018,2018,178,Rob 1,46.74011,-117.14237,796,354.78,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/27/2018,2018,178,Rob 2,46.74011,-117.14237,796,354.78,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/2018,2018,187,Rob 3,46.74011,-117.14237,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/6/2018,2018,187,Rob 4,46.74011,-117.14237,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2018,2018,193,Rob 5,46.74011,-117.14237,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/2018,2018,193,Rob 6,46.74011,-117.14237,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/2018,2018,199,Rob 7,46.74011,-117.14237,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/18/2018,2018,199,Rob 8,46.74011,-117.14237,796,355.7,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2018,2018,151,Rose Creek 1,46.82596,-117.20738,726,282.76,No,0,0,0,0,555,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2018,2018,151,Rose Creek 2,46.82535,-117.20811,726,282.76,No,0,0,0,0,0,113,0,0,0,45,41,0,0,0,0,0,0,0,0,0,0,0,0,0
