SiteID,Latitude,Longitude,Year,Julian_Day,Julian_week,AphidCount,Aphid_GGD,Pea_GDD,Vetch_GDD,Vetch_GDD_Clarkston
2020-Site-17,47.275014,-117.142906,2020,154,22,0,,,,
2020-Site-17,47.275014,-117.142906,2020,161,23,0,,,,
2020-Site-17,47.275014,-117.142906,2020,169,24,1,,,,
2020-Site-17,47.275014,-117.142906,2020,175,25,0,,,,
2020-Site-17,47.275014,-117.142906,2020,182,26,0,,,,
2020-Site-17,47.275014,-117.142906,2020,189,27,0,,,,
2020-Site-16,47.320772,-117.238833,2020,154,22,0,,,,
2020-Site-16,47.320772,-117.238833,2020,161,23,0,,,,
2020-Site-16,47.320772,-117.238833,2020,169,24,1,,,,
2020-Site-16,47.320772,-117.238833,2020,175,25,0,,,,
2020-Site-16,47.320772,-117.238833,2020,182,26,0,,,,
2020-Site-16,47.320772,-117.238833,2020,189,27,0,,,,
2020-Site-15,46.57316,-117.15043,2020,154,22,1,,,,
2020-Site-15,46.57316,-117.15043,2020,161,23,4,,,,
2020-Site-15,46.57316,-117.15043,2020,168,24,4,,,,
2020-Site-15,46.57316,-117.15043,2020,175,25,14,,,,
2020-Site-15,46.57316,-117.15043,2020,182,26,3,,,,
2020-Site-15,46.57316,-117.15043,2020,189,27,6,,,,
2020-Site-14,46.55279,-116.99633,2020,154,22,1,,,,
2020-Site-14,46.55279,-116.99633,2020,161,23,2,,,,
2020-Site-14,46.55279,-116.99633,2020,168,24,2,,,,
2020-Site-14,46.55279,-116.99633,2020,175,25,11,,,,
2020-Site-14,46.55279,-116.99633,2020,182,26,1,,,,
2020-Site-14,46.55279,-116.99633,2020,189,27,3,,,,
2020-Site-13,46.56392,-116.94838,2020,154,22,0,,,,
2020-Site-13,46.56392,-116.94838,2020,161,23,2,,,,
2020-Site-13,46.56392,-116.94838,2020,168,24,3,,,,
2020-Site-13,46.56392,-116.94838,2020,175,25,7,,,,
2020-Site-13,46.56392,-116.94838,2020,182,26,1,,,,
2020-Site-13,46.56392,-116.94838,2020,189,27,7,,,,
2020-Site-12,46.55877,-116.8223,2020,154,22,1,,,,
2020-Site-12,46.55877,-116.8223,2020,161,23,9,,,,
2020-Site-12,46.55877,-116.8223,2020,168,24,1,,,,
2020-Site-12,46.55877,-116.8223,2020,175,25,5,,,,
2020-Site-12,46.55877,-116.8223,2020,182,26,4,,,,
2020-Site-12,46.55877,-116.8223,2020,189,27,21,,,,
2020-Site-11,46.54937,-116.94453,2020,154,22,0,,,,
2020-Site-11,46.54937,-116.94453,2020,161,23,2,,,,
2020-Site-11,46.54937,-116.94453,2020,168,24,0,,,,
2020-Site-11,46.54937,-116.94453,2020,175,25,3,,,,
2020-Site-11,46.54937,-116.94453,2020,182,26,1,,,,
2020-Site-11,46.54937,-116.94453,2020,189,27,8,,,,
2020-Site-10,47.278111,-117.326219,2020,128,18,0,,,,
2020-Site-10,47.278111,-117.326219,2020,135,19,0,,,,
2020-Site-10,47.278111,-117.326219,2020,142,20,0,,,,
2020-Site-10,47.278111,-117.326219,2020,149,21,0,,,,
2020-Site-10,47.278111,-117.326219,2020,154,22,0,,,,
2020-Site-10,47.278111,-117.326219,2020,161,23,0,,,,
2020-Site-10,47.278111,-117.326219,2020,169,24,3,,,,
2020-Site-10,47.278111,-117.326219,2020,175,25,0,,,,
2020-Site-10,47.278111,-117.326219,2020,182,26,0,,,,
