Pan Trap ID,Date,Sampling Period,Julian Day,Pea Aphids,Other Aphids,Lat,Long
1D,6/3/2020,6,20155,1,4,,
2D,6/3/2020,6,20155,3,1,,
3D,6/3/2020,6,20155,2,1,,
4D,6/3/2020,6,20155,3,3,,
5D,6/3/2020,6,20155,1,0,,
6D,6/3/2020,6,20155,0,0,,
7D,6/3/2020,6,20155,0,1,,
T1,6/3/2020,6,20155,1,2,,
1D,6/9/2020,7,20161,1,1,,
2D,6/9/2020,7,20161,3,0,,
3D,6/9/2020,7,20161,3,0,,
4D,6/9/2020,7,20161,1,1,,
5D,6/9/2020,7,20161,1,0,,
6D,6/9/2020,7,20161,3,1,,
7D,6/9/2020,7,20161,1,1,,
T1,6/9/2020,7,20161,0,0,,
1A,6/10/2020,8,20162,1,0,,
1B,6/10/2020,8,20162,9,0,,
1C,6/10/2020,8,20162,,,,
1D,6/12/2020,8,20164,1,1,,
2A,6/10/2020,8,20162,2,1,,
2B,6/10/2020,8,20162,9,0,,
2C,6/11/2020,8,20163,2,5,,
2D,6/12/2020,8,20164,0,0,,
3A,6/10/2020,8,20162,7,2,,
3B,6/10/2020,8,20162,0,6,,
3C,6/11/2020,8,20163,5,2,,
3D,6/12/2020,8,20164,1,0,,
4A,6/12/2020,8,20164,,,,
4B,6/10/2020,8,20162,2,1,,
4C,6/10/2020,8,20162,,,,
4D,6/12/2020,8,20164,2,0,,
5A,6/10/2020,8,20162,5,0,,
5B,6/11/2020,8,20163,4,0,,
5C,6/11/2020,8,20163,,,,
5D,6/12/2020,8,20164,5,2,,
6A,6/10/2020,8,20162,0,0,,
6B,6/11/2020,8,20163,13,1,,
6C,6/11/2020,8,20163,5,7,,
6D,6/12/2020,8,20164,0,0,,
7A,6/10/2020,8,20162,8,1,,
7B,6/11/2020,8,20163,4,1,,
7C,6/11/2020,8,20163,2,0,,
7D,6/12/2020,8,20164,,,,
8A,6/10/2020,8,20162,9,3,,
8B,6/10/2020,8,20162,4,3,,
8C,6/11/2020,8,20163,5,13,,
T1,6/12/2020,8,20164,3,0,,
1A,6/15/2020,9,20167,2,0,,
1B,6/15/2020,9,20167,0,0,,
1C,6/15/2020,9,20167,0,0,,
2A,6/15/2020,9,20167,3,1,,
2B,6/15/2020,9,20167,1,0,,
3A,6/15/2020,9,20167,4,0,,
3B,6/15/2020,9,20167,0,3,,
4A,6/15/2020,9,20167,1,0,,
4C,6/15/2020,9,20167,0,0,,
5C,6/15/2020,9,20167,0,0,,
7A,6/15/2020,9,20167,5,0,,
8A,6/15/2020,9,20167,1,3,,
8B,6/15/2020,9,20167,3,2,,
1D,6/16/2020,9,20168,0,0,,
2C,6/16/2020,9,20168,1,1,,
2D,6/16/2020,9,20168,0,0,,
3C,6/16/2020,9,20168,3,0,,
3D,6/16/2020,9,20168,0,0,,
4B,6/16/2020,9,20168,3,2,,
4D,6/16/2020,9,20168,1,0,,
5A,6/16/2020,9,20168,1,1,,
5B,6/16/2020,9,20168,2,0,,
5D,6/16/2020,9,20168,2,0,,
6B,6/16/2020,9,20168,1,1,,
6C,6/16/2020,9,20168,5,2,,
6D,6/16/2020,9,20168,1,0,,
7B,6/16/2020,9,20168,0,1,,
7C,6/16/2020,9,20168,0,0,,
7D,6/16/2020,9,20168,0,1,,
8C,6/16/2020,9,20168,7,5,,
T1,6/16/2020,9,20168,1,0,,
1A,6/21/2020,10,20173,3,0,,
1B,6/21/2020,10,20173,6,0,,
1C,6/21/2020,10,20173,0,0,,
2A,6/21/2020,10,20173,2,0,,
2B,6/21/2020,10,20173,9,0,,
3A,6/21/2020,10,20173,7,0,,
3B,6/21/2020,10,20173,2,0,,
4A,6/21/2020,10,20173,1,0,,
4B,6/21/2020,10,20173,4,1,,
4C,6/21/2020,10,20173,2,1,,
5A,6/21/2020,10,20173,6,3,,
5C,6/21/2020,10,20173,3,0,,
6A,6/21/2020,10,20173,5,3,,
7A,6/21/2020,10,20173,13,0,,
8A,6/21/2020,10,20173,12,7,,
8B,6/21/2020,10,20173,8,2,,
1D,6/22/2020,10,20174,4,0,,
2C,6/22/2020,10,20174,5,1,,
2D,6/22/2020,10,20174,0,0,,
3C,6/22/2020,10,20174,7,0,,
3D,6/22/2020,10,20174,2,2,,
4D,6/22/2020,10,20174,1,0,,
5B,6/22/2020,10,20174,13,1,,
5D,6/22/2020,10,20174,2,3,,
6B,6/22/2020,10,20174,8,5,,
6C,6/22/2020,10,20174,23,12,,
6D,6/22/2020,10,20174,1,0,,
7B,6/22/2020,10,20174,2,1,,
7C,6/22/2020,10,20174,2,0,,
7D,6/22/2020,10,20174,2,0,,
8C,6/22/2020,10,20174,11,82,,
T1,6/22/2020,10,20174,7,3,,
1A,6/25/2020,11,20177,1,0,,
1B,6/25/2020,11,20177,0,1,,
1C,6/25/2020,11,20177,0,0,,
2A,6/25/2020,11,20177,1,3,,
2B,6/25/2020,11,20177,0,2,,
3A,6/25/2020,11,20177,3,1,,
3B,6/25/2020,11,20177,0,0,,
4A,6/25/2020,11,20177,0,0,,
4B,6/25/2020,11,20177,0,0,,
4C,6/25/2020,11,20177,0,2,,
5C,6/25/2020,11,20177,2,0,,
6A,6/25/2020,11,20177,3,7,,
6D,6/25/2020,11,20177,1,1,,
7A,6/25/2020,11,20177,5,1,,
5A,6/25/2020,11,20177,7,2,,
8A,6/25/2020,11,20177,8,0,,
8B,6/25/2020,11,20177,3,0,,
1D,6/26/2020,11,20178,0,1,,
2C,6/26/2020,11,20178,1,0,,
2D,6/26/2020,11,20178,0,0,,
3C,6/26/2020,11,20178,4,0,,
3D,6/26/2020,11,20178,,,,
4D,6/26/2020,11,20178,1,2,,
5B,6/26/2020,11,20178,0,4,,
5D,6/26/2020,11,20178,2,0,,
6B,6/26/2020,11,20178,0,2,,
6C,6/26/2020,11,20178,2,1,,
7B,6/26/2020,11,20178,0,1,,
7C,6/26/2020,11,20178,0,1,,
7D,6/26/2020,11,20178,0,1,,
8C,6/26/2020,11,20178,4,21,,
T1,6/26/2020,11,20178,1,4,,
1A,6/30/2020,12,20182,0,2,,
1C,6/30/2020,12,20182,0,0,,
2A,6/30/2020,12,20182,1,1,,
3A,6/30/2020,12,20182,1,4,,
4A,6/30/2020,12,20182,0,1,,
4C,6/30/2020,12,20182,3,3,,
5A,6/30/2020,12,20182,6,7,,
5C,6/30/2020,12,20182,2,3,,
7A,6/30/2020,12,20182,2,1,,
8B,6/30/2020,12,20182,2,0,,
1B,7/1/2020,12,20183,1,2,,
1D,7/1/2020,12,20183,5,3,,
2B,7/1/2020,12,20183,0,1,,
2C,7/1/2020,12,20183,0,0,,
2D,7/1/2020,12,20183,5,3,,
3B,7/1/2020,12,20183,3,2,,
3C,7/1/2020,12,20183,0,0,,
3D,7/1/2020,12,20183,0,0,,
4B,7/1/2020,12,20183,1,2,,
4D,7/1/2020,12,20183,4,3,,
5B,7/1/2020,12,20183,0,3,,
5D,7/1/2020,12,20183,3,3,,
6A,7/1/2020,12,20183,7,0,,
6B,7/1/2020,12,20183,1,3,,
6C,7/1/2020,12,20183,6,10,,
6D,7/1/2020,12,20183,2,2,,
7B,7/1/2020,12,20183,4,3,,
7C,7/1/2020,12,20183,0,0,,
7D,7/1/2020,12,20183,2,1,,
8A,7/1/2020,12,20183,0,1,,
8C,7/1/2020,12,20183,2,4,,
T1,7/1/2020,12,20183,4,2,,
1A,7/5/2020,13,20187,0,0,,
1B,7/5/2020,13,20187,3,6,,
1C,7/5/2020,13,20187,0,0,,
2A,7/5/2020,13,20187,1,6,,
2B,7/5/2020,13,20187,2,1,,
2C,7/5/2020,13,20187,4,1,,
3A,7/5/2020,13,20187,8,2,,
3B,7/5/2020,13,20187,2,1,,
3C,7/5/2020,13,20187,0,0,,
4A,7/5/2020,13,20187,2,0,,
4B,7/5/2020,13,20187,1,2,,
4C,7/5/2020,13,20187,3,2,,
5A,7/5/2020,13,20187,20,3,,
5B,7/5/2020,13,20187,2,5,,
5C,7/5/2020,13,20187,2,2,,
6A,7/5/2020,13,20187,,,,
6B,7/5/2020,13,20187,,,,
6C,7/5/2020,13,20187,8,1,,
7A,7/5/2020,13,20187,7,3,,
7B,7/5/2020,13,20187,6,3,,
7C,7/5/2020,13,20187,0,1,,
8A,7/5/2020,13,20187,5,4,,
8B,7/5/2020,13,20187,0,2,,
8C,7/5/2020,13,20187,5,3,,
1D,7/6/2020,13,20188,6,3,,
2D,7/6/2020,13,20188,2,2,,
3D,7/6/2020,13,20188,4,10,,
4D,7/6/2020,13,20188,4,0,,
5D,7/6/2020,13,20188,2,2,,
6D,7/6/2020,13,20188,1,0,,
7D,7/6/2020,13,20188,1,0,,
T1,7/6/2020,13,20188,6,11,,
1A,7/10/2020,14,20192,0,4,,
1B,7/10/2020,14,20192,0,6,,
1C,7/10/2020,14,20192,0,1,,
2A,7/10/2020,14,20192,2,3,,
2B,7/10/2020,14,20192,0,5,,
2C,7/10/2020,14,20192,1,0,,
3A,7/10/2020,14,20192,0,7,,
3B,7/10/2020,14,20192,3,1,,
3C,7/10/2020,14,20192,0,0,,
4A,7/10/2020,14,20192,1,1,,
4B,7/10/2020,14,20192,0,2,,
4C,7/10/2020,14,20192,0,2,,
5A,7/10/2020,14,20192,3,1,,
5B,7/10/2020,14,20192,0,0,,
5C,7/10/2020,14,20192,0,2,,
6A,7/10/2020,14,20192,,,,
6B,7/10/2020,14,20192,0,0,,
6C,7/10/2020,14,20192,3,3,,
7A,7/10/2020,14,20192,0,1,,
7B,7/10/2020,14,20192,0,0,,
7C,7/10/2020,14,20192,0,0,,
8A,7/10/2020,14,20192,0,2,,
8B,7/10/2020,14,20192,2,1,,
8C,7/10/2020,14,20192,4,4,,
1D,7/10/2020,14,20192,2,1,,
2D,7/10/2020,14,20192,1,0,,
3D,7/10/2020,14,20192,2,2,,
4D,7/10/2020,14,20192,0,2,,
5D,7/10/2020,14,20192,1,3,,
6D,7/10/2020,14,20192,6,4,,
7D,7/10/2020,14,20192,0,3,,
T1,7/10/2020,14,20192,1,2,,
1A,7/15/2020,15,20197,1,6,,
1B,7/15/2020,15,20197,0,5,,
1C,7/15/2020,15,20197,0,5,,
1D,7/15/2020,15,20197,2,3,,
2A,7/15/2020,15,20197,1,3,,
2B,7/15/2020,15,20197,1,0,,
2C,7/15/2020,15,20197,0,1,,
2D,7/15/2020,15,20197,0,0,,
3A,7/15/2020,15,20197,2,8,,
3B,7/15/2020,15,20197,0,1,,
3C,7/15/2020,15,20197,0,1,,
3D,7/15/2020,15,20197,2,3,,
4A,7/15/2020,15,20197,0,1,,
4B,7/15/2020,15,20197,2,14,,
4C,7/15/2020,15,20197,1,6,,
4D,7/15/2020,15,20197,1,1,,
5A,7/15/2020,15,20197,4,2,,
5B,7/15/2020,15,20197,0,4,,
5C,7/15/2020,15,20197,1,5,,
5D,7/15/2020,15,20197,0,2,,
6A,7/15/2020,15,20197,,,,
6B,7/15/2020,15,20197,0,1,,
6C,7/15/2020,15,20197,3,11,,
6D,7/15/2020,15,20197,2,12,,
7A,7/15/2020,15,20197,0,0,,
7B,7/15/2020,15,20197,0,1,,
7C,7/15/2020,15,20197,0,0,,
7D,7/15/2020,15,20197,0,3,,
8A,7/15/2020,15,20197,0,1,,
8B,7/15/2020,15,20197,,,,
8C,7/15/2020,15,20197,3,15,,
T1,7/15/2020,15,20197,2,7,,
,,,,1,0,,
